"seqnames","gene_id","gene_name","Operon","start","end","width","strand","Type","logFC","padj","fc_lt_2","fitness_defect","essential_status","essential_status_2","Function","GOs","KEGG_Pathway","COG_category"
"chromosome","PPGIJJGB_00011",NA,7,11010,11834,825,"-","CDS",-0.126768885168168,0.66311675821568,FALSE,FALSE,"nonessential","nonessential","[F] Adenosine deaminase    ",NA,NA,"K"
"chromosome","PPGIJJGB_00012","bcr1",8,11927,13054,1128,"+","CDS",-0.305116771196187,0.173447962624605,FALSE,FALSE,"nonessential","nonessential","[G] Na+/melibiose symporter and related transporters ","GO:0003674,GO:0005215,GO:0005575,GO:0005623,GO:0005886,GO:0006810,GO:0006855,GO:0008150,GO:0015238,GO:0015893,GO:0016020,GO:0016021,GO:0022857,GO:0031224,GO:0042221,GO:0042493,GO:0044425,GO:0044464,GO:0050896,GO:0051179,GO:0051234,GO:0055085,GO:0071944",NA,"EGP"
"chromosome","PPGIJJGB_00013","kdpE",9,13059,13742,684,"-","CDS",0.0725669092318742,0.757865298328685,FALSE,FALSE,"nonessential","nonessential","[TK] Response regulators consisting of a CheY-like",NA,"ko02020,ko02024,map02020,map02024","T"
"chromosome","PPGIJJGB_00014","kdpD",9,13781,16369,2589,"-","CDS",0.0810311474850995,0.327214823400322,FALSE,FALSE,"nonessential","nonessential","[T] Osmosensitive K+ channel histidine kinase ",NA,"ko02020,map02020","T"
"chromosome","PPGIJJGB_00015","kdpC",9,16472,16999,528,"-","CDS",-1.85606647193867,1.34086574736323e-09,FALSE,FALSE,"nonessential","nonessential","[P] K+-transporting ATPase, c chain  ","GO:0000166,GO:0003674,GO:0003824,GO:0005215,GO:0005488,GO:0005524,GO:0005575,GO:0005623,GO:0005886,GO:0006810,GO:0006811,GO:0006812,GO:0006813,GO:0008144,GO:0008150,GO:0008324,GO:0008556,GO:0009987,GO:0015075,GO:0015077,GO:0015079,GO:0015318,GO:0015399,GO:0015405,GO:0015662,GO:0015672,GO:0016020,GO:0016021,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017076,GO:0017111,GO:0019829,GO:0022804,GO:0022853,GO:0022857,GO:0022890,GO:0030001,GO:0030554,GO:0031004,GO:0031224,GO:0032553,GO:0032555,GO:0032559,GO:0032991,GO:0034220,GO:0035639,GO:0036094,GO:0042623,GO:0042625,GO:0042626,GO:0043167,GO:0043168,GO:0043492,GO:0044425,GO:0044464,GO:0046873,GO:0051179,GO:0051234,GO:0055085,GO:0071804,GO:0071805,GO:0071944,GO:0090533,GO:0090662,GO:0097159,GO:0097367,GO:0098533,GO:0098655,GO:0098660,GO:0098662,GO:0098796,GO:0099131,GO:0099132,GO:1901265,GO:1901363,GO:1902494,GO:1902495,GO:1904949,GO:1990351","ko02020,map02020","P"
"chromosome","PPGIJJGB_00016","kdpB",9,17060,19117,2058,"-","CDS",0.145277444200663,0.565701544763356,FALSE,FALSE,"nonessential","nonessential","[P] High-affinity K+ transport system, ATPase chain","GO:0000166,GO:0003674,GO:0003824,GO:0005215,GO:0005488,GO:0005524,GO:0005575,GO:0005623,GO:0005886,GO:0006810,GO:0006811,GO:0006812,GO:0006813,GO:0008144,GO:0008150,GO:0008324,GO:0008556,GO:0009987,GO:0015075,GO:0015077,GO:0015079,GO:0015318,GO:0015399,GO:0015405,GO:0015662,GO:0015672,GO:0016020,GO:0016021,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017076,GO:0017111,GO:0019829,GO:0022804,GO:0022853,GO:0022857,GO:0022890,GO:0030001,GO:0030554,GO:0031224,GO:0032553,GO:0032555,GO:0032559,GO:0034220,GO:0035639,GO:0036094,GO:0042623,GO:0042625,GO:0042626,GO:0043167,GO:0043168,GO:0043169,GO:0043492,GO:0044425,GO:0044464,GO:0046872,GO:0046873,GO:0051179,GO:0051234,GO:0055085,GO:0071804,GO:0071805,GO:0071944,GO:0090662,GO:0097159,GO:0097367,GO:0098655,GO:0098660,GO:0098662,GO:0099131,GO:0099132,GO:1901265,GO:1901363","ko02020,map02020","P"
"chromosome","PPGIJJGB_00017","kdpA",9,19173,20867,1695,"-","CDS",0.147731692883874,0.0410098197607098,FALSE,FALSE,"nonessential","nonessential","[P] K+-transporting ATPase, A chain  ","GO:0003674,GO:0003824,GO:0005215,GO:0005488,GO:0005575,GO:0005618,GO:0005623,GO:0005886,GO:0006810,GO:0006811,GO:0006812,GO:0006813,GO:0008150,GO:0008324,GO:0008556,GO:0009987,GO:0015075,GO:0015077,GO:0015079,GO:0015318,GO:0015399,GO:0015405,GO:0015662,GO:0015672,GO:0016020,GO:0016021,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017111,GO:0019829,GO:0022804,GO:0022853,GO:0022857,GO:0022890,GO:0030001,GO:0030312,GO:0030955,GO:0031224,GO:0031420,GO:0034220,GO:0042623,GO:0042625,GO:0042626,GO:0043167,GO:0043169,GO:0043492,GO:0044425,GO:0044464,GO:0046872,GO:0046873,GO:0051179,GO:0051234,GO:0055085,GO:0071804,GO:0071805,GO:0071944,GO:0090662,GO:0098655,GO:0098660,GO:0098662,GO:0099131,GO:0099132","ko02020,map02020","P"
"chromosome","PPGIJJGB_00018","gor",10,21261,22610,1350,"-","CDS",0.144871737861899,0.118020974352017,FALSE,FALSE,"nonessential","nonessential","[C] Pyruvate/2-oxoglutarate dehydrogenase complex, dihydrolipoamide dehydrogenase (E3)","GO:0000166,GO:0003674,GO:0003824,GO:0004362,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006091,GO:0006518,GO:0006575,GO:0006749,GO:0006790,GO:0006807,GO:0008150,GO:0008152,GO:0009055,GO:0009636,GO:0009987,GO:0015036,GO:0015037,GO:0015038,GO:0016209,GO:0016491,GO:0016651,GO:0016667,GO:0016668,GO:0019725,GO:0022900,GO:0034641,GO:0036094,GO:0042221,GO:0042592,GO:0043167,GO:0043168,GO:0043603,GO:0044237,GO:0044424,GO:0044464,GO:0045454,GO:0048037,GO:0050660,GO:0050661,GO:0050662,GO:0050789,GO:0050794,GO:0050896,GO:0051186,GO:0051716,GO:0055114,GO:0065007,GO:0065008,GO:0070887,GO:0071704,GO:0071949,GO:0097159,GO:0097237,GO:0098754,GO:0098869,GO:1901265,GO:1901363,GO:1901564,GO:1990748","ko00480,ko04918,map00480,map04918","C"
"chromosome","PPGIJJGB_00019",NA,11,22687,24654,1968,"-","CDS",0.379068602911412,2.51422804108376e-06,FALSE,FALSE,"nonessential","nonessential","[T] Signal transduction histidine kinase regulating C4-dicarboxylate",NA,NA,"T"
"chromosome","PPGIJJGB_00020","acrB",12,24777,27857,3081,"-","CDS",0.0209802630739544,0.907037000683034,FALSE,FALSE,"nonessential","nonessential","[V] Cation/multidrug efflux pump   ","GO:0003674,GO:0005215,GO:0005575,GO:0005623,GO:0005886,GO:0006810,GO:0008150,GO:0016020,GO:0016021,GO:0022857,GO:0031224,GO:0044425,GO:0044464,GO:0051179,GO:0051234,GO:0055085,GO:0071944","ko01501,ko01503,map01501,map01503","V"
"chromosome","PPGIJJGB_00021","acrA",12,27873,28979,1107,"-","CDS",0.0224206503726663,0.840242710366373,FALSE,FALSE,"nonessential","nonessential","[M] Membrane-fusion protein    ","GO:0003674,GO:0005215,GO:0005575,GO:0006810,GO:0008150,GO:0016020,GO:0016021,GO:0031224,GO:0044425,GO:0051179,GO:0051234,GO:0055085","ko01501,ko01503,map01501,map01503","M"
"chromosome","PPGIJJGB_00022","Z012_03230",12,29012,29575,564,"-","CDS",0.22176020691292,0.124788442631337,FALSE,FALSE,"nonessential","nonessential","[K] Transcriptional regulator    ","GO:0000976,GO:0001067,GO:0003674,GO:0003676,GO:0003677,GO:0003690,GO:0003700,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006139,GO:0006351,GO:0006355,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009889,GO:0009987,GO:0010467,GO:0010468,GO:0010556,GO:0016070,GO:0018130,GO:0019219,GO:0019222,GO:0019438,GO:0031323,GO:0031326,GO:0032774,GO:0034641,GO:0034645,GO:0034654,GO:0043170,GO:0043565,GO:0044212,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044271,GO:0044424,GO:0044444,GO:0044464,GO:0046483,GO:0050789,GO:0050794,GO:0051171,GO:0051252,GO:0060255,GO:0065007,GO:0071704,GO:0080090,GO:0090304,GO:0097159,GO:0097659,GO:0140110,GO:1901360,GO:1901362,GO:1901363,GO:1901576,GO:1903506,GO:1990837,GO:2000112,GO:2001141","ko01501,map01501","K"
"chromosome","PPGIJJGB_00023",NA,13,29836,29912,77,"+","tRNA",-8.78933613359628,6.27303782667522e-40,TRUE,TRUE,"uncertain","uncertain",NA,NA,NA,NA
"chromosome","PPGIJJGB_00024",NA,13,29963,30038,76,"+","tRNA",-9.84434534205921,1.61398773036966e-15,TRUE,TRUE,"uncertain","uncertain",NA,NA,NA,NA
"chromosome","PPGIJJGB_00025",NA,13,30059,30144,86,"+","tRNA",-5.09706400202984,1.21290954952777e-43,TRUE,TRUE,"uncertain","uncertain",NA,NA,NA,NA
"chromosome","PPGIJJGB_00026",NA,13,30209,30285,77,"+","tRNA",-7.02716748443646,1.86238924708183e-81,TRUE,TRUE,"essential","essential",NA,NA,NA,NA
"chromosome","PPGIJJGB_00027",NA,14,30467,30943,477,"+","CDS",0.120123378853894,0.0487413886214862,FALSE,FALSE,"nonessential","nonessential",NA,NA,NA,NA
"chromosome","PPGIJJGB_00028","bglC3",14,30943,31482,540,"+","CDS",0.181022997856138,0.00379972883721611,FALSE,FALSE,"nonessential","nonessential",NA,NA,NA,"G"
"chromosome","PPGIJJGB_00029","uhpC",15,31555,32892,1338,"-","CDS",-1.0128136930547,8.84212518123842e-26,FALSE,FALSE,"nonessential","nonessential","[G] Sugar phosphate permease   ",NA,"ko02020,map02020","G"
"chromosome","PPGIJJGB_00030","pgtC",16,33207,34466,1260,"+","CDS",0.216560939627546,0.278339118381987,FALSE,FALSE,"uncertain","uncertain","[P] ABC-type Fe3+ transport system, periplasmic component","GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0016021,GO:0031224,GO:0044425,GO:0044464,GO:0071944","ko02010,ko02020,map02010,map02020","P"
"chromosome","PPGIJJGB_00031","pgtB",16,34463,36898,2436,"+","CDS",NA,NA,FALSE,NA,"uncertain","uncertain","[T] Signal transduction histidine kinase regulating phosphoglycerate",NA,"ko02020,ko02030,map02020,map02030","T"
"chromosome","PPGIJJGB_00032","pgtA",16,36882,38159,1278,"+","CDS",0.142240540152923,0.458810409781282,FALSE,FALSE,"nonessential","nonessential","[T] Response regulator containing CheY-like receiver, AAA-type",NA,"ko02020,map02020","T"
"chromosome","PPGIJJGB_00033","cof",17,38241,39053,813,"-","CDS",-0.336387499370389,9.51120865169126e-05,FALSE,FALSE,"nonessential/internal promoter","nonessential/internal promoter","[R] Predicted hydrolases of the HAD superfamily",NA,NA,"S"
"chromosome","PPGIJJGB_00034","pldB",17,39147,40187,1041,"-","CDS",-2.19010315968228,3.9091356018913e-45,TRUE,TRUE,"essential","essential","[I] Lysophospholipase     ","GO:0003674,GO:0003824,GO:0004620,GO:0004622,GO:0005575,GO:0005623,GO:0005886,GO:0006629,GO:0008150,GO:0008152,GO:0016020,GO:0016298,GO:0016740,GO:0016746,GO:0016747,GO:0016787,GO:0016788,GO:0044238,GO:0044464,GO:0052689,GO:0071704,GO:0071944","ko00564,map00564","I"
"chromosome","PPGIJJGB_00035","cat",17,40184,40846,663,"-","CDS",0.0908312390949086,0.471356938733608,FALSE,FALSE,"nonessential","nonessential","[R] Acetyltransferase (isoleucine patch superfamily)  ","GO:0003674,GO:0003824,GO:0008150,GO:0008374,GO:0008811,GO:0016407,GO:0016413,GO:0016740,GO:0016746,GO:0016747,GO:0042221,GO:0046677,GO:0050896",NA,"S"
"chromosome","PPGIJJGB_00036","trmH",17,40849,41544,696,"-","CDS",0.66145535092243,3.79860886270309e-06,FALSE,FALSE,"nonessential","nonessential","[J] rRNA methylases    ","GO:0000049,GO:0001510,GO:0002128,GO:0002938,GO:0003674,GO:0003676,GO:0003723,GO:0003824,GO:0005488,GO:0006139,GO:0006396,GO:0006399,GO:0006400,GO:0006725,GO:0006807,GO:0008033,GO:0008150,GO:0008152,GO:0008168,GO:0008171,GO:0008173,GO:0008175,GO:0008757,GO:0009020,GO:0009451,GO:0009987,GO:0010467,GO:0016070,GO:0016423,GO:0016740,GO:0016741,GO:0030488,GO:0032259,GO:0034470,GO:0034641,GO:0034660,GO:0043170,GO:0043412,GO:0043414,GO:0044237,GO:0044238,GO:0044260,GO:0046483,GO:0071704,GO:0090304,GO:0097159,GO:0106050,GO:0140098,GO:0140101,GO:1901360,GO:1901363",NA,"J"
"chromosome","PPGIJJGB_00037","spoT",18,41696,43813,2118,"-","CDS",-7.78266613758938,1.29851394370537e-15,TRUE,TRUE,"uncertain/others","uncertain","[TK] Guanosine polyphosphate pyrophosphohydrolases/synthetases   ","GO:0000166,GO:0001882,GO:0001883,GO:0003674,GO:0003824,GO:0005488,GO:0005524,GO:0005525,GO:0005575,GO:0005618,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005886,GO:0006139,GO:0006163,GO:0006164,GO:0006725,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0006950,GO:0007154,GO:0008144,GO:0008150,GO:0008152,GO:0008728,GO:0008893,GO:0009058,GO:0009116,GO:0009117,GO:0009119,GO:0009150,GO:0009152,GO:0009163,GO:0009165,GO:0009259,GO:0009260,GO:0009267,GO:0009605,GO:0009987,GO:0009991,GO:0015949,GO:0015969,GO:0015970,GO:0016020,GO:0016301,GO:0016310,GO:0016740,GO:0016772,GO:0016778,GO:0016787,GO:0016788,GO:0016794,GO:0017076,GO:0018130,GO:0019001,GO:0019438,GO:0019637,GO:0019693,GO:0030312,GO:0030554,GO:0031667,GO:0031668,GO:0031669,GO:0032549,GO:0032550,GO:0032553,GO:0032555,GO:0032559,GO:0032561,GO:0033554,GO:0033865,GO:0033866,GO:0033875,GO:0034030,GO:0034032,GO:0034033,GO:0034035,GO:0034036,GO:0034404,GO:0034641,GO:0034654,GO:0035639,GO:0036094,GO:0042278,GO:0042451,GO:0042455,GO:0042578,GO:0042594,GO:0043167,GO:0043168,GO:0044237,GO:0044238,GO:0044249,GO:0044271,GO:0044281,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0046128,GO:0046129,GO:0046390,GO:0046483,GO:0050896,GO:0051716,GO:0055086,GO:0071496,GO:0071704,GO:0071944,GO:0072521,GO:0072522,GO:0090407,GO:0097159,GO:0097367,GO:1901068,GO:1901070,GO:1901135,GO:1901137,GO:1901265,GO:1901293,GO:1901360,GO:1901362,GO:1901363,GO:1901564,GO:1901566,GO:1901576,GO:1901657,GO:1901659","ko00230,map00230","KT"
"chromosome","PPGIJJGB_00038","rpoZ",18,43951,44226,276,"-","CDS",-0.857938964000286,6.95006713875663e-06,FALSE,FALSE,"nonessential/internal promoter","nonessential/internal promoter","[K] DNA-directed RNA polymerase, subunit K/omega ","GO:0003674,GO:0003676,GO:0003677,GO:0003824,GO:0003899,GO:0005488,GO:0005575,GO:0005618,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006139,GO:0006351,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0016070,GO:0016740,GO:0016772,GO:0016779,GO:0018130,GO:0019438,GO:0030312,GO:0030880,GO:0032774,GO:0032991,GO:0034062,GO:0034641,GO:0034645,GO:0034654,GO:0040007,GO:0043170,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044271,GO:0044424,GO:0044444,GO:0044464,GO:0046483,GO:0061695,GO:0071704,GO:0071944,GO:0090304,GO:0097159,GO:0097659,GO:0097747,GO:0140098,GO:1901360,GO:1901362,GO:1901363,GO:1901576,GO:1902494,GO:1990234","ko00230,ko00240,ko01100,ko03020,map00230,map00240,map01100,map03020","K"
"chromosome","PPGIJJGB_00039","gmk",18,44306,44932,627,"-","CDS",-6.93168776045433,3.50185203836985e-42,TRUE,TRUE,"essential","essential","[F] Guanylate kinase    ","GO:0000166,GO:0003674,GO:0003824,GO:0004385,GO:0005488,GO:0005515,GO:0005524,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006139,GO:0006163,GO:0006725,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0008144,GO:0008150,GO:0008152,GO:0009058,GO:0009116,GO:0009117,GO:0009119,GO:0009123,GO:0009126,GO:0009132,GO:0009135,GO:0009150,GO:0009161,GO:0009165,GO:0009167,GO:0009179,GO:0009185,GO:0009259,GO:0009987,GO:0015949,GO:0016301,GO:0016310,GO:0016740,GO:0016772,GO:0016776,GO:0017076,GO:0018130,GO:0019205,GO:0019438,GO:0019637,GO:0019693,GO:0030554,GO:0032553,GO:0032555,GO:0032559,GO:0034641,GO:0034654,GO:0035639,GO:0036094,GO:0042278,GO:0042802,GO:0043167,GO:0043168,GO:0044237,GO:0044238,GO:0044249,GO:0044271,GO:0044281,GO:0044424,GO:0044444,GO:0044464,GO:0046037,GO:0046128,GO:0046483,GO:0046710,GO:0046940,GO:0050145,GO:0055086,GO:0071704,GO:0072521,GO:0090407,GO:0097159,GO:0097367,GO:1901068,GO:1901135,GO:1901265,GO:1901293,GO:1901360,GO:1901362,GO:1901363,GO:1901564,GO:1901576,GO:1901657","ko00230,ko00240,ko01100,map00230,map00240,map01100","F"
"chromosome","PPGIJJGB_00040","opsX",19,45237,46292,1056,"-","CDS",-1.24987757022517,9.53112627820556e-28,FALSE,FALSE,"nonessential","nonessential","[M] ADP-heptose:LPS heptosyltransferase    ","GO:0000271,GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005975,GO:0005976,GO:0006629,GO:0008150,GO:0008152,GO:0008610,GO:0008653,GO:0008713,GO:0008920,GO:0009058,GO:0009059,GO:0009103,GO:0009244,GO:0009311,GO:0009312,GO:0009987,GO:0016051,GO:0016740,GO:0016757,GO:0033692,GO:0034637,GO:0034645,GO:0043170,GO:0044237,GO:0044238,GO:0044249,GO:0044255,GO:0044260,GO:0044262,GO:0044264,GO:0044424,GO:0044444,GO:0044464,GO:0046401,GO:0071704,GO:1901135,GO:1901137,GO:1901576,GO:1903509","ko00540,ko01100,map00540,map01100","M"
"chromosome","PPGIJJGB_00041","kdkA",20,46448,47161,714,"+","CDS",-3.22679794399223,1.46055938748823e-108,TRUE,TRUE,"essential","essential",NA,NA,"ko00540,map00540","H"
"chromosome","PPGIJJGB_00042",NA,21,47232,48095,864,"+","CDS",0.0887729138460597,0.643392244703278,FALSE,FALSE,"nonessential","nonessential","[T] Response regulator containing a CheY-like receiver",NA,NA,"T"
