query,seed_ortholog,evalue,score,eggNOG_OGs,max_annot_lvl,COG_category,Description,Preferred_name,GOs,EC,KEGG_ko,KEGG_Pathway,KEGG_Module,KEGG_Reaction,KEGG_rclass,BRITE,KEGG_TC,CAZy,BiGG_Reaction,PFAMs
PPGIJJGB_00012,1448139.AI20_19420,3.49e-250,689.0,"COG0477@1|root,COG2814@2|Bacteria,1N1R8@1224|Proteobacteria,1RQPQ@1236|Gammaproteobacteria",2|Bacteria,EGP,Major facilitator superfamily,bcr1,"GO:0003674,GO:0005215,GO:0005575,GO:0005623,GO:0005886,GO:0006810,GO:0006855,GO:0008150,GO:0015238,GO:0015893,GO:0016020,GO:0016021,GO:0022857,GO:0031224,GO:0042221,GO:0042493,GO:0044425,GO:0044464,GO:0050896,GO:0051179,GO:0051234,GO:0055085,GO:0071944",-,"ko:K02030,ko:K07552",-,M00236,-,-,"ko00000,ko00002,ko02000","2.A.1.2,3.A.1.3",-,-,MFS_1
PPGIJJGB_00013,1448139.AI20_19425,2.5e-162,454.0,"COG0745@1|root,COG0745@2|Bacteria,1MWZ5@1224|Proteobacteria,1RNY2@1236|Gammaproteobacteria,1Y4FK@135624|Aeromonadales",2|Bacteria,T,"Transcriptional regulatory protein, C terminal",kdpE,-,-,ko:K07667,"ko02020,ko02024,map02020,map02024",M00454,-,-,"ko00000,ko00001,ko00002,ko02022",-,-,-,"Response_reg,Trans_reg_C"
PPGIJJGB_00014,1448139.AI20_19430,0.0,1663.0,"COG0642@1|root,COG2205@2|Bacteria,1MUZQ@1224|Proteobacteria,1RMZT@1236|Gammaproteobacteria,1Y4D4@135624|Aeromonadales",2|Bacteria,T,Histidine kinase,kdpD,-,2.7.13.3,ko:K07646,"ko02020,map02020",M00454,-,-,"ko00000,ko00001,ko00002,ko01000,ko01001,ko02022",-,-,-,"DUF4118,GAF_3,HATPase_c,HisKA,KdpD,Usp"
PPGIJJGB_00015,1448139.AI20_19435,1.55e-110,319.0,"COG2156@1|root,COG2156@2|Bacteria,1RABG@1224|Proteobacteria,1S2B0@1236|Gammaproteobacteria,1Y631@135624|Aeromonadales",2|Bacteria,P,"Part of the high-affinity ATP-driven potassium transport (or Kdp) system, which catalyzes the hydrolysis of ATP coupled with the electrogenic transport of potassium into the cytoplasm. This subunit acts as a catalytic chaperone that increases the ATP- binding affinity of the ATP-hydrolyzing subunit KdpB by the formation of a transient KdpB KdpC ATP ternary complex",kdpC,"GO:0000166,GO:0003674,GO:0003824,GO:0005215,GO:0005488,GO:0005524,GO:0005575,GO:0005623,GO:0005886,GO:0006810,GO:0006811,GO:0006812,GO:0006813,GO:0008144,GO:0008150,GO:0008324,GO:0008556,GO:0009987,GO:0015075,GO:0015077,GO:0015079,GO:0015318,GO:0015399,GO:0015405,GO:0015662,GO:0015672,GO:0016020,GO:0016021,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017076,GO:0017111,GO:0019829,GO:0022804,GO:0022853,GO:0022857,GO:0022890,GO:0030001,GO:0030554,GO:0031004,GO:0031224,GO:0032553,GO:0032555,GO:0032559,GO:0032991,GO:0034220,GO:0035639,GO:0036094,GO:0042623,GO:0042625,GO:0042626,GO:0043167,GO:0043168,GO:0043492,GO:0044425,GO:0044464,GO:0046873,GO:0051179,GO:0051234,GO:0055085,GO:0071804,GO:0071805,GO:0071944,GO:0090533,GO:0090662,GO:0097159,GO:0097367,GO:0098533,GO:0098655,GO:0098660,GO:0098662,GO:0098796,GO:0099131,GO:0099132,GO:1901265,GO:1901363,GO:1902494,GO:1902495,GO:1904949,GO:1990351",3.6.3.12,ko:K01548,"ko02020,map02020",-,-,-,"ko00000,ko00001,ko01000",3.A.3.7,-,"iEcE24377_1341.EcE24377A_0722,ic_1306.c0781",KdpC
PPGIJJGB_00016,1448139.AI20_19445,0.0,1237.0,"COG2216@1|root,COG2216@2|Bacteria,1MU7D@1224|Proteobacteria,1RPPF@1236|Gammaproteobacteria,1Y515@135624|Aeromonadales",2|Bacteria,P,"Part of the high-affinity ATP-driven potassium transport (or Kdp) system, which catalyzes the hydrolysis of ATP coupled with the electrogenic transport of potassium into the cytoplasm. This subunit is responsible for energy coupling to the transport system",kdpB,"GO:0000166,GO:0003674,GO:0003824,GO:0005215,GO:0005488,GO:0005524,GO:0005575,GO:0005623,GO:0005886,GO:0006810,GO:0006811,GO:0006812,GO:0006813,GO:0008144,GO:0008150,GO:0008324,GO:0008556,GO:0009987,GO:0015075,GO:0015077,GO:0015079,GO:0015318,GO:0015399,GO:0015405,GO:0015662,GO:0015672,GO:0016020,GO:0016021,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017076,GO:0017111,GO:0019829,GO:0022804,GO:0022853,GO:0022857,GO:0022890,GO:0030001,GO:0030554,GO:0031224,GO:0032553,GO:0032555,GO:0032559,GO:0034220,GO:0035639,GO:0036094,GO:0042623,GO:0042625,GO:0042626,GO:0043167,GO:0043168,GO:0043169,GO:0043492,GO:0044425,GO:0044464,GO:0046872,GO:0046873,GO:0051179,GO:0051234,GO:0055085,GO:0071804,GO:0071805,GO:0071944,GO:0090662,GO:0097159,GO:0097367,GO:0098655,GO:0098660,GO:0098662,GO:0099131,GO:0099132,GO:1901265,GO:1901363",3.6.3.12,ko:K01547,"ko02020,map02020",-,-,-,"ko00000,ko00001,ko01000",3.A.3.7,-,-,"E1-E2_ATPase,Hydrolase"
PPGIJJGB_00017,1448139.AI20_19450,0.0,1078.0,"COG2060@1|root,COG2060@2|Bacteria,1MV1K@1224|Proteobacteria,1RQZU@1236|Gammaproteobacteria,1Y54D@135624|Aeromonadales",2|Bacteria,P,"Part of the high-affinity ATP-driven potassium transport (or Kdp) system, which catalyzes the hydrolysis of ATP coupled with the electrogenic transport of potassium into the cytoplasm. This subunit binds and transports the potassium across the cytoplasmic membrane",kdpA,"GO:0003674,GO:0003824,GO:0005215,GO:0005488,GO:0005575,GO:0005618,GO:0005623,GO:0005886,GO:0006810,GO:0006811,GO:0006812,GO:0006813,GO:0008150,GO:0008324,GO:0008556,GO:0009987,GO:0015075,GO:0015077,GO:0015079,GO:0015318,GO:0015399,GO:0015405,GO:0015662,GO:0015672,GO:0016020,GO:0016021,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017111,GO:0019829,GO:0022804,GO:0022853,GO:0022857,GO:0022890,GO:0030001,GO:0030312,GO:0030955,GO:0031224,GO:0031420,GO:0034220,GO:0042623,GO:0042625,GO:0042626,GO:0043167,GO:0043169,GO:0043492,GO:0044425,GO:0044464,GO:0046872,GO:0046873,GO:0051179,GO:0051234,GO:0055085,GO:0071804,GO:0071805,GO:0071944,GO:0090662,GO:0098655,GO:0098660,GO:0098662,GO:0099131,GO:0099132",3.6.3.12,ko:K01546,"ko02020,map02020",-,-,-,"ko00000,ko00001,ko01000",3.A.3.7,-,-,KdpA
PPGIJJGB_00018,1448139.AI20_19455,0.0,897.0,"COG1249@1|root,COG1249@2|Bacteria,1MU2Z@1224|Proteobacteria,1RMC0@1236|Gammaproteobacteria,1Y58E@135624|Aeromonadales",2|Bacteria,C,Belongs to the class-I pyridine nucleotide-disulfide oxidoreductase family,gor,"GO:0000166,GO:0003674,GO:0003824,GO:0004362,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006091,GO:0006518,GO:0006575,GO:0006749,GO:0006790,GO:0006807,GO:0008150,GO:0008152,GO:0009055,GO:0009636,GO:0009987,GO:0015036,GO:0015037,GO:0015038,GO:0016209,GO:0016491,GO:0016651,GO:0016667,GO:0016668,GO:0019725,GO:0022900,GO:0034641,GO:0036094,GO:0042221,GO:0042592,GO:0043167,GO:0043168,GO:0043603,GO:0044237,GO:0044424,GO:0044464,GO:0045454,GO:0048037,GO:0050660,GO:0050661,GO:0050662,GO:0050789,GO:0050794,GO:0050896,GO:0051186,GO:0051716,GO:0055114,GO:0065007,GO:0065008,GO:0070887,GO:0071704,GO:0071949,GO:0097159,GO:0097237,GO:0098754,GO:0098869,GO:1901265,GO:1901363,GO:1901564,GO:1990748",1.8.1.7,ko:K00383,"ko00480,ko04918,map00480,map04918",-,"R00094,R00115",RC00011,"ko00000,ko00001,ko01000",-,-,iZ_1308.Z4900,"Pyr_redox_2,Pyr_redox_dim"
PPGIJJGB_00019,1448139.AI20_19460,0.0,1261.0,"COG4191@1|root,COG4191@2|Bacteria,1RCM9@1224|Proteobacteria,1RN52@1236|Gammaproteobacteria,1Y4Z4@135624|Aeromonadales",2|Bacteria,T,Periplasmic sensor domain found in signal transduction proteins,-,-,-,-,-,-,-,-,-,-,-,-,"CHASE5,DUF4154,GAF_2,HAMP,HATPase_c,HisKA,PAS,PAS_4,PAS_9,Reg_prop,Response_reg,Y_Y_Y,dCache_1"
PPGIJJGB_00020,1448139.AI20_19465,0.0,1902.0,"COG0841@1|root,COG0841@2|Bacteria,1MU48@1224|Proteobacteria,1RMBN@1236|Gammaproteobacteria,1Y3H6@135624|Aeromonadales",2|Bacteria,V,Belongs to the resistance-nodulation-cell division (RND) (TC 2.A.6) family,acrB,"GO:0003674,GO:0005215,GO:0005575,GO:0005623,GO:0005886,GO:0006810,GO:0008150,GO:0016020,GO:0016021,GO:0022857,GO:0031224,GO:0044425,GO:0044464,GO:0051179,GO:0051234,GO:0055085,GO:0071944",-,ko:K18138,"ko01501,ko01503,map01501,map01503","M00647,M00699,M00718",-,-,"ko00000,ko00001,ko00002,ko01504,ko02000",2.A.6.2,-,-,ACR_tran
PPGIJJGB_00021,1448139.AI20_19470,6.61e-256,702.0,"COG0845@1|root,COG0845@2|Bacteria,1MUFW@1224|Proteobacteria,1RQJ9@1236|Gammaproteobacteria,1Y435@135624|Aeromonadales",2|Bacteria,M,Belongs to the membrane fusion protein (MFP) (TC 8.A.1) family,acrA,"GO:0003674,GO:0005215,GO:0005575,GO:0006810,GO:0008150,GO:0016020,GO:0016021,GO:0031224,GO:0044425,GO:0051179,GO:0051234,GO:0055085",-,ko:K03585,"ko01501,ko01503,map01501,map01503","M00646,M00647,M00699,M00718",-,-,"ko00000,ko00001,ko00002,ko01504,ko02000,ko03036","2.A.6.2,8.A.1.6",-,-,HlyD_D23
PPGIJJGB_00022,1448139.AI20_19475,3e-132,375.0,"COG1309@1|root,COG1309@2|Bacteria,1N0GT@1224|Proteobacteria,1SA00@1236|Gammaproteobacteria,1Y4M2@135624|Aeromonadales",2|Bacteria,K,Transcriptional regulator,Z012_03230,"GO:0000976,GO:0001067,GO:0003674,GO:0003676,GO:0003677,GO:0003690,GO:0003700,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006139,GO:0006351,GO:0006355,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009889,GO:0009987,GO:0010467,GO:0010468,GO:0010556,GO:0016070,GO:0018130,GO:0019219,GO:0019222,GO:0019438,GO:0031323,GO:0031326,GO:0032774,GO:0034641,GO:0034645,GO:0034654,GO:0043170,GO:0043565,GO:0044212,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044271,GO:0044424,GO:0044444,GO:0044464,GO:0046483,GO:0050789,GO:0050794,GO:0051171,GO:0051252,GO:0060255,GO:0065007,GO:0071704,GO:0080090,GO:0090304,GO:0097159,GO:0097659,GO:0140110,GO:1901360,GO:1901362,GO:1901363,GO:1901576,GO:1903506,GO:1990837,GO:2000112,GO:2001141",-,"ko:K18136,ko:K22106","ko01501,map01501",-,-,-,"ko00000,ko00001,ko03000",-,-,-,"TetR_C_10,TetR_N"
PPGIJJGB_00028,1448139.AI20_19505,2.7e-68,212.0,"COG2730@1|root,COG2730@2|Bacteria",2|Bacteria,G,polysaccharide catabolic process,bglC3,-,-,-,-,-,-,-,-,-,-,-,"CBM_3,Calx-beta,Cellulase,Glyco_hydro_48,RicinB_lectin_2,Ricin_B_lectin,fn3"
PPGIJJGB_00029,1448139.AI20_19510,0.0,879.0,"COG2271@1|root,COG2271@2|Bacteria,1MX4V@1224|Proteobacteria,1RMB3@1236|Gammaproteobacteria",2|Bacteria,G,transporter,uhpC,-,-,ko:K07783,"ko02020,map02020",-,-,-,"ko00000,ko00001,ko02000","2.A.1.4.4,2.A.1.4.6",-,-,MFS_1
PPGIJJGB_00030,380703.AHA_0031,1.14e-269,741.0,"COG1840@1|root,COG1840@2|Bacteria,1MWWI@1224|Proteobacteria,1RRWU@1236|Gammaproteobacteria",2|Bacteria,P,"ABC-type Fe3 transport system, periplasmic component",pgtC,"GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0016021,GO:0031224,GO:0044425,GO:0044464,GO:0071944",-,"ko:K02012,ko:K08478","ko02010,ko02020,map02010,map02020",M00190,-,-,"ko00000,ko00001,ko00002,ko02000",3.A.1.10,-,-,"SBP_bac_11,SBP_bac_6"
PPGIJJGB_00031,1448139.AI20_19520,0.0,1502.0,"COG4191@1|root,COG4192@1|root,COG4191@2|Bacteria,COG4192@2|Bacteria,1RCM9@1224|Proteobacteria,1RQIN@1236|Gammaproteobacteria",2|Bacteria,T,Signal transduction histidine kinase,pgtB,-,2.7.13.3,"ko:K02482,ko:K03406,ko:K07653,ko:K08475,ko:K10125","ko02020,ko02030,map02020,map02030","M00460,M00503,M00504",-,-,"ko00000,ko00001,ko00002,ko01000,ko01001,ko02022,ko02035",-,-,-,"4HB_MCP_1,HAMP,HATPase_c,HisKA,HisKA_3,MCPsignal,PAS_8"
PPGIJJGB_00032,1448139.AI20_19525,3.63e-307,837.0,"COG2204@1|root,COG2204@2|Bacteria,1MU0N@1224|Proteobacteria,1RYCY@1236|Gammaproteobacteria",2|Bacteria,T,Response regulator containing CheY-like receiver AAA-type ATPase and DNA-binding domains,pgtA,-,-,"ko:K08476,ko:K10126","ko02020,map02020","M00503,M00504",-,-,"ko00000,ko00001,ko00002,ko02022",-,-,-,"HTH_8,Response_reg,Sigma54_activ_2,Sigma54_activat"
PPGIJJGB_00033,380703.AHA_0035,5.93e-196,543.0,"COG0561@1|root,COG0561@2|Bacteria,1MV02@1224|Proteobacteria,1RP1D@1236|Gammaproteobacteria,1Y49T@135624|Aeromonadales",2|Bacteria,S,Sucrose-6F-phosphate phosphohydrolase,cof,-,-,-,-,-,-,-,-,-,-,-,Hydrolase_3
PPGIJJGB_00034,380703.AHA_0036,2.2e-252,692.0,"COG2267@1|root,COG2267@2|Bacteria,1MWDA@1224|Proteobacteria,1RRJP@1236|Gammaproteobacteria,1Y4UG@135624|Aeromonadales",2|Bacteria,I,"Serine aminopeptidase, S33",pldB,"GO:0003674,GO:0003824,GO:0004620,GO:0004622,GO:0005575,GO:0005623,GO:0005886,GO:0006629,GO:0008150,GO:0008152,GO:0016020,GO:0016298,GO:0016740,GO:0016746,GO:0016747,GO:0016787,GO:0016788,GO:0044238,GO:0044464,GO:0052689,GO:0071704,GO:0071944",3.1.1.5,ko:K01048,"ko00564,map00564",-,-,-,"ko00000,ko00001,ko01000",-,-,"iETEC_1333.ETEC_4102,iEcHS_1320.EcHS_A4049",Hydrolase_4
PPGIJJGB_00035,1448139.AI20_19540,1.52e-164,459.0,"COG0110@1|root,COG0110@2|Bacteria,1MUCJ@1224|Proteobacteria,1RPPT@1236|Gammaproteobacteria",2|Bacteria,S,COG0110 Acetyltransferase (isoleucine patch superfamily),cat,"GO:0003674,GO:0003824,GO:0008150,GO:0008374,GO:0008811,GO:0016407,GO:0016413,GO:0016740,GO:0016746,GO:0016747,GO:0042221,GO:0046677,GO:0050896",2.3.1.28,"ko:K00638,ko:K18234",-,-,-,-,"br01600,ko00000,ko01000,ko01504",-,-,-,Hexapep
